Zupanija,broj_zarazenih,broj_umrlih,broj_aktivni
Sibensko-kninska,4872,87
Bjelovarsko-bilogorska,2652,107
Brodsko-posavska,4791,125
Dubrovacko-neretvanska,4165,79
Grad Zagreb,28691,1279
Istarska,1614,107
Karlovacka,4425,250
Koprivnicko-krizevacka,2543,101
Krapinsko-zagorska,2433,122
Licko-senjska,1390,68
Medimurska,5126,58
Osjecko-baranjska,6607,434
Pozesko-slavonska,1337,58
Primorsko-goranska,17448,305
Sisacko-moslavacka,3901,1
Splitsko-dalmatinska,19120,290
Varazdinska,8141,260
Viroviticko-podravska,1147,50
Vukovarsko-srijemska,4007,97
Zadarska,6547,132
Zagrebacka,12962,0
